GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vet-service,com.petclinic.vet.dto,SpecialtyRequestDto,0,16,0,0,0,8,0,4,0,4
vet-service,com.petclinic.vet.dto,VetResponseDto,0,46,0,0,0,20,0,10,0,10
vet-service,com.petclinic.vet.dto,VetRequestDto,0,36,0,0,0,16,0,8,0,8
vet-service,com.petclinic.vet.dto,SpecialtyResponseDto,0,26,0,0,0,12,0,6,0,6
vet-service,com.petclinic.vet.controller,SpecialtyController,0,47,0,0,0,13,0,6,0,6
vet-service,com.petclinic.vet.controller,VetController,0,69,1,7,0,17,1,9,0,6
vet-service,com.petclinic.vet.service,SpecialtyServiceImpl,0,139,0,8,0,29,0,12,0,8
vet-service,com.petclinic.vet.service,VetServiceImpl,0,213,0,8,0,45,0,16,0,12
vet-service,com.petclinic.vet.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
vet-service,com.petclinic.vet.exception,GlobalExceptionHandler,0,107,0,0,0,31,0,6,0,6
vet-service,com.petclinic.vet.exception,ResourceNotFoundException,0,27,0,0,0,6,0,3,0,3
vet-service,com.petclinic.vet.entity,Specialty,0,40,0,0,0,18,0,10,0,10
vet-service,com.petclinic.vet.entity,Vet,0,67,0,0,0,26,0,14,0,14
vet-service,com.petclinic.vet.mapper,VetMapper,0,23,0,2,0,6,0,3,0,2
vet-service,com.petclinic.vet.config,JpaAuditingConfig,0,3,0,0,0,1,0,1,0,1
vet-service,com.petclinic.vet,VetServiceApplication,5,3,0,0,2,1,1,1,1,1
